teks_asli,konversi_emoji,cleaning,case_folding,normalisasi,tokenisasi,stopword,stemming,teks_bersih,label
"Mantap..thanks ilmu nya pak,","Mantap..thanks ilmu nya pak,",Mantap thanks ilmu nya pak,mantap thanks ilmu nya pak,bagus terima kasih ilmu nya pak,bagus | terima | kasih | ilmu | nya | pak,bagus terima kasih ilmu nya pak,bagus terima kasih ilmu nya pak,bagus terima kasih ilmu nya pak,positif
"Aplikasi emas digital terpercaya apa ya ?,","Aplikasi emas digital terpercaya apa ya ?,",Aplikasi emas digital terpercaya apa ya,aplikasi emas digital terpercaya apa ya,aplikasi emas digital terpercaya apa ya,aplikasi | emas | digital | terpercaya | apa | ya,aplikasi emas digital terpercaya,aplikasi emas digital percaya,aplikasi emas digital percaya,netral
"""Masi mnding beli mas lngsung fisik,ktk kt  beli udah ad ditngan kita,bda hlnya m mas digital memliki tp g tau bntuk brangnya.Wlwpun hrgnya lbih murah resiko kdpan nasib perusahaan yg didirikan teknologi manusia g slmanya hidup."",","""Masi mnding beli mas lngsung fisik,ktk kt beli udah ad ditngan kita,bda hlnya m mas digital memliki tp g tau bntuk brangnya.Wlwpun hrgnya lbih murah resiko kdpan nasib perusahaan yg didirikan teknologi manusia g slmanya hidup."",",Masi mnding beli mas lngsung fisik ktk kt beli udah ad ditngan kita bda hlnya m mas digital memliki tp g tau bntuk brangnya Wlwpun hrgnya lbih murah resiko kdpan nasib perusahaan yg didirikan teknologi manusia g slmanya hidup,masi mnding beli mas lngsung fisik ktk kt beli udah ad ditngan kita bda hlnya m mas digital memliki tp g tau bntuk brangnya wlwpun hrgnya lbih murah resiko kdpan nasib perusahaan yg didirikan teknologi manusia g slmanya hidup,masih mnding membeli mas lngsung fisik ktk kita membeli sudah ad ditngan kita bda hlnya m mas digital memliki tapi tidak tahu bntuk brangnya wlwpun hrgnya lbih murah resiko kdpan nasib perusahaan yang didirikan teknologi manusia tidak slmanya hidup,masih | mnding | membeli | mas | lngsung | fisik | ktk | kita | membeli | sudah | ad | ditngan | kita | bda | hlnya | m | mas | digital | memliki | tapi | tidak | tahu | bntuk | brangnya | wlwpun | hrgnya | lbih | murah | resiko | kdpan | nasib | perusahaan | yang | didirikan | teknologi | manusia | tidak | slmanya | hidup,masih mnding membeli mas lngsung fisik ktk membeli sudah ditngan bda hlnya mas digital memliki tapi tidak tahu bntuk brangnya wlwpun hrgnya lbih murah resiko kdpan nasib perusahaan didirikan teknologi manusia tidak slmanya hidup,masih mnding beli mas lngsung fisik ktk beli sudah ditngan bda hlnya mas digital memliki tapi tidak tahu bntuk brangnya wlwpun hrgnya lbih murah resiko kdpan nasib usaha diri teknologi manusia tidak slmanya hidup,masih mnding beli mas lngsung fisik ktk beli sudah ditngan bda hlnya mas digital memliki tapi tidak tahu bntuk brangnya wlwpun hrgnya lbih murah resiko kdpan nasib usaha diri teknologi manusia tidak slmanya hidup,positif
"awalalpalma559,"" saya punya uang 1.5jt perbulan nganggur , Rencana mau Invenst tapi masih bingung mo Ngambil apa aja, soalnya buat nabung dalam jangka 3 Tahun depan","awalalpalma559,"" saya punya uang 1.5jt perbulan nganggur , Rencana mau Invenst tapi masih bingung mo Ngambil apa aja, soalnya buat nabung dalam jangka 3 Tahun depan",awalalpalma saya punya uang 5jt perbulan nganggur Rencana mau Invenst tapi masih bingung mo Ngambil apa aja soalnya buat nabung dalam jangka 3 Tahun depan,awalalpalma saya punya uang 5jt perbulan nganggur rencana mau invenst tapi masih bingung mo ngambil apa aja soalnya buat nabung dalam jangka 3 tahun depan,awalalpalma saya punya uang 5jt perbulan nganggur rencana mau invenst tapi masih bingung mau ngambil apa aja karena buat menabung dalam jangka 3 tahun depan,awalalpalma | saya | punya | uang | 5jt | perbulan | nganggur | rencana | mau | invenst | tapi | masih | bingung | mau | ngambil | apa | aja | karena | buat | menabung | dalam | jangka | 3 | tahun | depan,awalalpalma punya uang 5jt perbulan nganggur rencana mau invenst tapi masih bingung mau ngambil aja karena buat menabung dalam jangka tahun depan,awalalpalma punya uang 5jt bulan nganggur rencana mau invenst tapi masih bingung mau ngambil aja karena buat tabung dalam jangka tahun depan,awalalpalma punya uang 5jt bulan nganggur rencana mau invenst tapi masih bingung mau ngambil aja karena buat tabung dalam jangka tahun depan,positif
"""Klo tiap bulan beli 0.5 gram perbulan utk invest apakah menguntungkan dimasa akan datang kak , krna mw beli yg graman besar blum sanggup , tllong penjelsannya ya"",","""Klo tiap bulan beli 0.5 gram perbulan utk invest apakah menguntungkan dimasa akan datang kak , krna mw beli yg graman besar blum sanggup , tllong penjelsannya ya"",",Klo tiap bulan beli 5 gram perbulan utk invest apakah menguntungkan dimasa akan datang kak krna mw beli yg graman besar blum sanggup tllong penjelsannya ya,klo tiap bulan beli 5 gram perbulan utk invest apakah menguntungkan dimasa akan datang kak krna mw beli yg graman besar blum sanggup tllong penjelsannya ya,kalau tiap bulan membeli 5 gram perbulan untuk investasi apakah menguntungkan dimasa akan datang kakak karena mw membeli yang graman besar belum sanggup tllong penjelsannya ya,kalau | tiap | bulan | membeli | 5 | gram | perbulan | untuk | investasi | apakah | menguntungkan | dimasa | akan | datang | kakak | karena | mw | membeli | yang | graman | besar | belum | sanggup | tllong | penjelsannya | ya,kalau tiap bulan membeli gram perbulan investasi apakah menguntungkan dimasa datang kakak karena membeli graman besar belum sanggup tllong penjelsannya,kalau tiap bulan beli gram bulan investasi apakah untung masa datang kakak karena beli gram besar belum sanggup tllong penjelsannya,kalau tiap bulan beli gram bulan investasi apakah untung masa datang kakak karena beli gram besar belum sanggup tllong penjelsannya,positif
"""Klo emas di pluang mau tarik fisik, itu emasnya asli kan ka?"",","""Klo emas di pluang mau tarik fisik, itu emasnya asli kan ka?"",",Klo emas di pluang mau tarik fisik itu emasnya asli kan ka,klo emas di pluang mau tarik fisik itu emasnya asli kan ka,kalau emas di pluang mau menarik fisik itu emasnya asli kan kakak,kalau | emas | di | pluang | mau | menarik | fisik | itu | emasnya | asli | kan | kakak,kalau emas pluang mau menarik fisik emasnya asli kan kakak,kalau emas pluang mau tarik fisik emas asli kan kakak,kalau emas pluang mau tarik fisik emas asli kan kakak,netral
"imoditri9195,kalo mau beli emas 10gram mending ke toko emas , soalnya kalo beli emas digital takutnya kena hack,","imoditri9195,kalo mau beli emas 10gram mending ke toko emas , soalnya kalo beli emas digital takutnya kena hack ,",imoditri kalo mau beli emas 10gram mending ke toko emas soalnya kalo beli emas digital takutnya kena hack,imoditri kalo mau beli emas 10gram mending ke toko emas soalnya kalo beli emas digital takutnya kena hack,imoditri kalau mau membeli emas 10gram lebih baik ke toko emas karena kalau membeli emas digital takutnya kena hack,imoditri | kalau | mau | membeli | emas | 10gram | lebih | baik | ke | toko | emas | karena | kalau | membeli | emas | digital | takutnya | kena | hack,imoditri kalau mau membeli emas 10gram lebih baik toko emas karena kalau membeli emas digital takutnya kena hack,imoditri kalau mau beli emas 10gram lebih baik toko emas karena kalau beli emas digital takut kena hack,imoditri kalau mau beli emas 10gram lebih baik toko emas karena kalau beli emas digital takut kena hack,negatif
"Saya berani nabung di pegadaian krn dr saya bocil ni perusahaan udah ada. Mari kita doakan biar pegadaian tidak pernah bangkrut. Nnti deh kalo udh 5gram saya cetak aja dah,","Saya berani nabung di pegadaian krn dr saya bocil ni perusahaan udah ada. Mari kita doakan biar pegadaian tidak pernah bangkrut. Nnti deh kalo udh 5gram saya cetak aja dah,",Saya berani nabung di pegadaian krn dr saya bocil ni perusahaan udah ada Mari kita doakan biar pegadaian tidak pernah bangkrut Nnti deh kalo udh 5gram saya cetak aja dah,saya berani nabung di pegadaian krn dr saya bocil ni perusahaan udah ada mari kita doakan biar pegadaian tidak pernah bangkrut nnti deh kalo udh 5gram saya cetak aja dah,saya berani menabung di pegadaian karena dari saya bocil ni perusahaan sudah ada mari kita doakan biar pegadaian tidak pernah bangkrut nnti deh kalau sudah 5gram saya mencetak emas aja sudah,saya | berani | menabung | di | pegadaian | karena | dari | saya | bocil | ni | perusahaan | sudah | ada | mari | kita | doakan | biar | pegadaian | tidak | pernah | bangkrut | nnti | deh | kalau | sudah | 5gram | saya | mencetak | emas | aja | sudah,berani menabung pegadaian karena bocil perusahaan sudah mari doakan biar pegadaian tidak pernah bangkrut nnti deh kalau sudah 5gram mencetak emas aja sudah,berani tabung gadai karena bocil usaha sudah mari doa biar gadai tidak pernah bangkrut nnti deh kalau sudah 5gram cetak emas aja sudah,berani tabung gadai karena bocil usaha sudah mari doa biar gadai tidak pernah bangkrut nnti deh kalau sudah 5gram cetak emas aja sudah,positif
"""Saya sesuai kek kamu bang, nabung dulu emas, baru udh banyak gramnya saya cetak ðŸ¤£"",","""Saya sesuai kek kamu bang, nabung dulu emas, baru udh banyak gramnya saya cetak ðŸ "",",Saya sesuai kek kamu bang nabung dulu emas baru udh banyak gramnya saya cetak ðŸ,saya sesuai kek kamu bang nabung dulu emas baru udh banyak gramnya saya cetak ðÿ,saya sesuai kek kamu abang menabung dahulu emas baru sudah banyak gramnya saya mencetak emas ðÿ,saya | sesuai | kek | kamu | abang | menabung | dahulu | emas | baru | sudah | banyak | gramnya | saya | mencetak | emas | ðÿ,sesuai kek kamu abang menabung dahulu emas baru sudah banyak gramnya mencetak emas,sesuai kek kamu abang tabung dahulu emas baru sudah banyak gram cetak emas,sesuai kek kamu abang tabung dahulu emas baru sudah banyak gram cetak emas,positif
haloo kak... apakah boleh beli emas 10gram terus saya cetak ke 1gram dan bila di jual harga tetap 1 gram logam mul,haloo kak... apakah boleh beli emas 10gram terus saya cetak ke 1gram dan bila di jual harga tetap 1 gram logam mul,haloo kak apakah boleh beli emas 10gram terus saya cetak ke 1gram dan bila di jual harga tetap 1 gram logam mul,haloo kak apakah boleh beli emas 10gram terus saya cetak ke 1gram dan bila di jual harga tetap 1 gram logam mul,haloo kakak apakah boleh membeli emas 10gram terus saya mencetak emas ke 1gram dan jika di menjual harga tetap 1 gram logam mul,haloo | kakak | apakah | boleh | membeli | emas | 10gram | terus | saya | mencetak | emas | ke | 1gram | dan | jika | di | menjual | harga | tetap | 1 | gram | logam | mul,haloo kakak apakah boleh membeli emas 10gram terus mencetak emas 1gram menjual harga tetap gram logam mul,haloo kakak apakah boleh beli emas 10gram terus cetak emas 1gram jual harga tetap gram logam mul,haloo kakak apakah boleh beli emas 10gram terus cetak emas 1gram jual harga tetap gram logam mul,netral
"Ka udah berapa lama main di tabungan digital pegadaian?,","Ka udah berapa lama main di tabungan digital pegadaian?,",Ka udah berapa lama main di tabungan digital pegadaian,ka udah berapa lama main di tabungan digital pegadaian,kakak sudah berapa lama main di tabungan digital pegadaian,kakak | sudah | berapa | lama | main | di | tabungan | digital | pegadaian,kakak sudah berapa lama main tabungan digital pegadaian,kakak sudah berapa lama main tabung digital gadai,kakak sudah berapa lama main tabung digital gadai,netral
"abelkluwutl,Lebih suka emas fisik,","abelkluwutl,Lebih suka emas fisik,",abelkluwutl Lebih suka emas fisik,abelkluwutl lebih suka emas fisik,abelkluwutl lebih suka emas fisik,abelkluwutl | lebih | suka | emas | fisik,abelkluwutl lebih suka emas fisik,abelkluwutl lebih suka emas fisik,abelkluwutl lebih suka emas fisik,positif
"Kak mau tanya kalo kita nabung emas di Pegadaian.. terus Setiap saya Nabung langsung ke Tempat nya Apakah. Di buku tabungan kita jumlah ny naik.. apa Gimana kak setiap kita Nabung,","Kak mau tanya kalo kita nabung emas di Pegadaian.. terus Setiap saya Nabung langsung ke Tempat nya Apakah. Di buku tabungan kita jumlah ny naik.. apa Gimana kak setiap kita Nabung,",Kak mau tanya kalo kita nabung emas di Pegadaian terus Setiap saya Nabung langsung ke Tempat nya Apakah Di buku tabungan kita jumlah ny naik apa Gimana kak setiap kita Nabung,kak mau tanya kalo kita nabung emas di pegadaian terus setiap saya nabung langsung ke tempat nya apakah di buku tabungan kita jumlah ny naik apa gimana kak setiap kita nabung,kakak mau bertanya kalau kita menabung emas di pegadaian terus setiap saya menabung langsung ke tempat nya apakah di buku tabungan kita jumlah ny naik apa bagaimana kakak setiap kita menabung,kakak | mau | bertanya | kalau | kita | menabung | emas | di | pegadaian | terus | setiap | saya | menabung | langsung | ke | tempat | nya | apakah | di | buku | tabungan | kita | jumlah | ny | naik | apa | bagaimana | kakak | setiap | kita | menabung,kakak mau bertanya kalau menabung emas pegadaian terus setiap menabung langsung tempat nya apakah buku tabungan jumlah naik bagaimana kakak setiap menabung,kakak mau tanya kalau tabung emas gadai terus tiap tabung langsung tempat nya apakah buku tabung jumlah naik bagaimana kakak tiap tabung,kakak mau tanya kalau tabung emas gadai terus tiap tabung langsung tempat nya apakah buku tabung jumlah naik bagaimana kakak tiap tabung,netral
"""Mau sarannya kak, saya masih pemula. Modal cukup untuk 0.5gr tapi saya ingin dalam bentuk fisik. Saran kka saya lebih baik tarik fisik atau digital kak? Makasih"",","""Mau sarannya kak, saya masih pemula. Modal cukup untuk 0.5gr tapi saya ingin dalam bentuk fisik. Saran kka saya lebih baik tarik fisik atau digital kak? Makasih"",",Mau sarannya kak saya masih pemula Modal cukup untuk 5gr tapi saya ingin dalam bentuk fisik Saran kka saya lebih baik tarik fisik atau digital kak Makasih,mau sarannya kak saya masih pemula modal cukup untuk 5gr tapi saya ingin dalam bentuk fisik saran kka saya lebih baik tarik fisik atau digital kak makasih,mau sarannya kakak saya masih pemula modal cukup untuk 5gr tapi saya ingin dalam bentuk fisik saran kka saya lebih baik menarik fisik atau digital kakak terima kasih,mau | sarannya | kakak | saya | masih | pemula | modal | cukup | untuk | 5gr | tapi | saya | ingin | dalam | bentuk | fisik | saran | kka | saya | lebih | baik | menarik | fisik | atau | digital | kakak | terima | kasih,mau sarannya kakak masih pemula modal cukup 5gr tapi ingin dalam bentuk fisik saran kka lebih baik menarik fisik digital kakak terima kasih,mau saran kakak masih mula modal cukup 5gr tapi ingin dalam bentuk fisik saran kka lebih baik tarik fisik digital kakak terima kasih,mau saran kakak masih mula modal cukup 5gr tapi ingin dalam bentuk fisik saran kka lebih baik tarik fisik digital kakak terima kasih,netral
"""Tapi kalau di shopee tabungan emas nya kalu dijual gk makn wakti lama kok , langsung cuma butuh bbrapa menit j lngsung cair ke no rek kita yg sdh terdaftar.krn sy sering ðŸ¤­ beli lalu jual lagiðŸ˜"",","""Tapi kalau di shopee tabungan emas nya kalu dijual gk makn wakti lama kok , langsung cuma butuh bbrapa menit j lngsung cair ke no rek kita yg sdh terdaftar.krn sy sering ðŸ beli lalu jual lagiðŸ "",",Tapi kalau di shopee tabungan emas nya kalu dijual gk makn wakti lama kok langsung cuma butuh bbrapa menit j lngsung cair ke no rek kita yg sdh terdaftar krn sy sering ðŸ beli lalu jual lagiðŸ,tapi kalau di shopee tabungan emas nya kalu dijual gk makn wakti lama kok langsung cuma butuh bbrapa menit j lngsung cair ke no rek kita yg sdh terdaftar krn sy sering ðÿ beli lalu jual lagiðÿ,tapi kalau di shopee tabungan emas nya kalu dijual tidak makn wakti lama kok langsung cuma butuh bbrapa menit j lngsung mencairkan ke no rekening kita yang sudah terdaftar resmi karena saya sering ðÿ membeli lalu menjual lagiðÿ,tapi | kalau | di | shopee | tabungan | emas | nya | kalu | dijual | tidak | makn | wakti | lama | kok | langsung | cuma | butuh | bbrapa | menit | j | lngsung | mencairkan | ke | no | rekening | kita | yang | sudah | terdaftar | resmi | karena | saya | sering | ðÿ | membeli | lalu | menjual | lagiðÿ,tapi kalau shopee tabungan emas nya kalu dijual tidak makn wakti lama kok langsung cuma butuh bbrapa menit lngsung mencairkan rekening sudah terdaftar resmi karena sering membeli lalu menjual lagiðÿ,tapi kalau shopee tabung emas nya kalu jual tidak makn wakti lama kok langsung cuma butuh bbrapa menit lngsung cair rekening sudah daftar resmi karena sering beli lalu jual lagi,tapi kalau shopee tabung emas nya kalu jual tidak makn wakti lama kok langsung cuma butuh bbrapa menit lngsung cair rekening sudah daftar resmi karena sering beli lalu jual lagi,positif
"""Emas digital bisa dijual kapan saja. Tapi kalau uang cair nunggu 3 hari kerja ya mendingan emas fisik. Butuh uang malam ini, tokonya tutup, bisa bangunin tetangga, pinjam uang dan jaminkan emasnya."",","""Emas digital bisa dijual kapan saja. Tapi kalau uang cair nunggu 3 hari kerja ya mendingan emas fisik. Butuh uang malam ini, tokonya tutup, bisa bangunin tetangga, pinjam uang dan jaminkan emasnya."",",Emas digital bisa dijual kapan saja Tapi kalau uang cair nunggu 3 hari kerja ya mendingan emas fisik Butuh uang malam ini tokonya tutup bisa bangunin tetangga pinjam uang dan jaminkan emasnya,emas digital bisa dijual kapan saja tapi kalau uang cair nunggu 3 hari kerja ya mendingan emas fisik butuh uang malam ini tokonya tutup bisa bangunin tetangga pinjam uang dan jaminkan emasnya,emas digital bisa dijual kapan saja tapi kalau uang mencairkan menunggu 3 hari kerja ya lebih baik emas fisik butuh uang malam ini tokonya tutup bisa bangunin tetangga pinjam uang dan jaminkan emasnya,emas | digital | bisa | dijual | kapan | saja | tapi | kalau | uang | mencairkan | menunggu | 3 | hari | kerja | ya | lebih | baik | emas | fisik | butuh | uang | malam | ini | tokonya | tutup | bisa | bangunin | tetangga | pinjam | uang | dan | jaminkan | emasnya,emas digital bisa dijual kapan saja tapi kalau uang mencairkan menunggu hari kerja lebih baik emas fisik butuh uang malam tokonya tutup bisa bangunin tetangga pinjam uang jaminkan emasnya,emas digital bisa jual kapan saja tapi kalau uang cair tunggu hari kerja lebih baik emas fisik butuh uang malam toko tutup bisa bangunin tetangga pinjam uang jamin emas,emas digital bisa jual kapan saja tapi kalau uang cair tunggu hari kerja lebih baik emas fisik butuh uang malam toko tutup bisa bangunin tetangga pinjam uang jamin emas,positif
"@SriWahyuni-yp1tx,kalo mau tarik uang di pegadaian kena admin tidak? kalo transfer kan kena,","@SriWahyuni-yp1tx,kalo mau tarik uang di pegadaian kena admin tidak? kalo transfer kan kena,",SriWahyuni yptx kalo mau tarik uang di pegadaian kena admin tidak kalo transfer kan kena,sriwahyuni yptx kalo mau tarik uang di pegadaian kena admin tidak kalo transfer kan kena,sriwahyuni yptx kalau mau menarik uang di pegadaian kena biaya administrasi tidak kalau transfer kan kena,sriwahyuni | yptx | kalau | mau | menarik | uang | di | pegadaian | kena | biaya | administrasi | tidak | kalau | transfer | kan | kena,sriwahyuni yptx kalau mau menarik uang pegadaian kena biaya administrasi tidak kalau transfer kan kena,sriwahyuni yptx kalau mau tarik uang gadai kena biaya administrasi tidak kalau transfer kan kena,sriwahyuni yptx kalau mau tarik uang gadai kena biaya administrasi tidak kalau transfer kan kena,netral
"""pak mau tanya, untung nabung emas pakai antam jika ad budget 5jtaan lbih baik lgsg beli yg 5gram dalam satu keping, atw beli 5pc keping  yg per1gr? mana yg lbh menguntungkan pak jika ingin nnti suatu saat di jual lg?"",","""pak mau tanya, untung nabung emas pakai antam jika ad budget 5jtaan lbih baik lgsg beli yg 5gram dalam satu keping, atw beli 5pc keping yg per1gr? mana yg lbh menguntungkan pak jika ingin nnti suatu saat di jual lg?"",",pak mau tanya untung nabung emas pakai antam jika ad budget jtaan lbih baik lgsg beli yg 5gram dalam satu keping atw beli pc keping yg pergr mana yg lbh menguntungkan pak jika ingin nnti suatu saat di jual lg,pak mau tanya untung nabung emas pakai antam jika ad budget jtaan lbih baik lgsg beli yg 5gram dalam satu keping atw beli pc keping yg pergr mana yg lbh menguntungkan pak jika ingin nnti suatu saat di jual lg,pak mau bertanya menguntungkan menabung emas pakai antam jika ad budget jtaan lbih baik langsung membeli yang 5gram dalam 1 keping atw membeli pc keping yang pergr mana yang lbh menguntungkan pak jika ingin nnti suatu saat di menjual lg,pak | mau | bertanya | menguntungkan | menabung | emas | pakai | antam | jika | ad | budget | jtaan | lbih | baik | langsung | membeli | yang | 5gram | dalam | 1 | keping | atw | membeli | pc | keping | yang | pergr | mana | yang | lbh | menguntungkan | pak | jika | ingin | nnti | suatu | saat | di | menjual | lg,pak mau bertanya menguntungkan menabung emas pakai antam budget jtaan lbih baik langsung membeli 5gram dalam keping atw membeli keping pergr mana lbh menguntungkan pak ingin nnti suatu menjual,pak mau tanya untung tabung emas pakai antam budget jtaan lbih baik langsung beli 5gram dalam keping atw beli keping pergr mana lbh untung pak ingin nnti suatu jual,pak mau tanya untung tabung emas pakai antam budget jtaan lbih baik langsung beli 5gram dalam keping atw beli keping pergr mana lbh untung pak ingin nnti suatu jual,netral
"""Kalau cetak emas digital ke emas fisik, ada biaya nggak dong ya."",","""Kalau cetak emas digital ke emas fisik, ada biaya nggak dong ya."",",Kalau cetak emas digital ke emas fisik ada biaya nggak dong ya,kalau cetak emas digital ke emas fisik ada biaya nggak dong ya,kalau mencetak emas emas digital ke emas fisik ada biaya tidak dong ya,kalau | mencetak | emas | emas | digital | ke | emas | fisik | ada | biaya | tidak | dong | ya,kalau mencetak emas emas digital emas fisik biaya tidak dong,kalau cetak emas emas digital emas fisik biaya tidak dong,kalau cetak emas emas digital emas fisik biaya tidak dong,netral
"""Kak boleh minta saran, <br>setiap bulan saya bisa menyisihkan uang untuk membeli 1 gram lm  <br>tetapi di sisi lain saya ingin membeli 5 gram <br>Tapi saya tidak mampu untuk membeli 5 gram secara Igsung, sedangkan saya tidak mau  tukar lm 1 gram saya ke 5 gram kara menurut saya rugi <br>, menurt kakak <br>, saya coba digital saja agar suatu saat saya dapat memiliki 5 gram++ Im <br>atau bertahan membeli lm 1 grm tiap bulannya ?"",","""Kak boleh minta saran, <br>setiap bulan saya bisa menyisihkan uang untuk membeli 1 gram lm <br>tetapi di sisi lain saya ingin membeli 5 gram <br>Tapi saya tidak mampu untuk membeli 5 gram secara Igsung, sedangkan saya tidak mau tukar lm 1 gram saya ke 5 gram kara menurut saya rugi <br>, menurt kakak <br>, saya coba digital saja agar suatu saat saya dapat memiliki 5 gram++ Im <br>atau bertahan membeli lm 1 grm tiap bulannya ?"",",Kak boleh minta saran setiap bulan saya bisa menyisihkan uang untuk membeli 1 gram lm tetapi di sisi lain saya ingin membeli 5 gram Tapi saya tidak mampu untuk membeli 5 gram secara Igsung sedangkan saya tidak mau tukar lm 1 gram saya ke 5 gram kara menurut saya rugi menurt kakak saya coba digital saja agar suatu saat saya dapat memiliki 5 gram Im atau bertahan membeli lm grm tiap bulannya,kak boleh minta saran setiap bulan saya bisa menyisihkan uang untuk membeli 1 gram lm tetapi di sisi lain saya ingin membeli 5 gram tapi saya tidak mampu untuk membeli 5 gram secara igsung sedangkan saya tidak mau tukar lm 1 gram saya ke 5 gram kara menurut saya rugi menurt kakak saya coba digital saja agar suatu saat saya dapat memiliki 5 gram im atau bertahan membeli lm grm tiap bulannya,kakak boleh minta saran setiap bulan saya bisa menyisihkan uang untuk membeli 1 gram logam mulia tetapi di sisi lain saya ingin membeli 5 gram tapi saya tidak mampu untuk membeli 5 gram secara igsung sedangkan saya tidak mau tukar logam mulia 1 gram saya ke 5 gram kara menurut saya merugikan menurt kakak saya mencoba digital saja agar suatu saat saya dapat memiliki 5 gram im atau bertahan membeli logam mulia grm tiap bulannya,kakak | boleh | minta | saran | setiap | bulan | saya | bisa | menyisihkan | uang | untuk | membeli | 1 | gram | logam | mulia | tetapi | di | sisi | lain | saya | ingin | membeli | 5 | gram | tapi | saya | tidak | mampu | untuk | membeli | 5 | gram | secara | igsung | sedangkan | saya | tidak | mau | tukar | logam | mulia | 1 | gram | saya | ke | 5 | gram | kara | menurut | saya | merugikan | menurt | kakak | saya | mencoba | digital | saja | agar | suatu | saat | saya | dapat | memiliki | 5 | gram | im | atau | bertahan | membeli | logam | mulia | grm | tiap | bulannya,kakak boleh minta saran setiap bulan bisa menyisihkan uang membeli gram logam mulia tetapi sisi lain ingin membeli gram tapi tidak mampu membeli gram secara igsung sedangkan tidak mau tukar logam mulia gram gram kara menurut merugikan menurt kakak mencoba digital saja suatu dapat memiliki gram bertahan membeli logam mulia grm tiap bulannya,kakak boleh minta saran tiap bulan bisa sisih uang beli gram logam mulia tetapi sisi lain ingin beli gram tapi tidak mampu beli gram cara igsung sedang tidak mau tukar logam mulia gram gram kara turut rugi menurt kakak coba digital saja suatu dapat milik gram tahan beli logam mulia grm tiap bulan,kakak boleh minta saran tiap bulan bisa sisih uang beli gram logam mulia tetapi sisi lain ingin beli gram tapi tidak mampu beli gram cara igsung sedang tidak mau tukar logam mulia gram gram kara turut rugi menurt kakak coba digital saja suatu dapat milik gram tahan beli logam mulia grm tiap bulan,netral
"Kalau pendapat saya masih mending emas digital. Soalnya efisien trus kita bisa cek apakah emas itu turun atau naik kalau naik ya tinggal jual.. transaksi gampang dan bisa kapan aja,","Kalau pendapat saya masih mending emas digital. Soalnya efisien trus kita bisa cek apakah emas itu turun atau naik kalau naik ya tinggal jual.. transaksi gampang dan bisa kapan aja,",Kalau pendapat saya masih mending emas digital Soalnya efisien trus kita bisa cek apakah emas itu turun atau naik kalau naik ya tinggal jual transaksi gampang dan bisa kapan aja,kalau pendapat saya masih mending emas digital soalnya efisien trus kita bisa cek apakah emas itu turun atau naik kalau naik ya tinggal jual transaksi gampang dan bisa kapan aja,kalau pendapat saya masih lebih baik emas digital karena efisien trus kita bisa cek apakah emas itu turun atau naik kalau naik ya tinggal menjual transaksi mudah dan bisa kapan aja,kalau | pendapat | saya | masih | lebih | baik | emas | digital | karena | efisien | trus | kita | bisa | cek | apakah | emas | itu | turun | atau | naik | kalau | naik | ya | tinggal | menjual | transaksi | mudah | dan | bisa | kapan | aja,kalau pendapat masih lebih baik emas digital karena efisien trus bisa cek apakah emas turun naik kalau naik tinggal menjual transaksi mudah bisa kapan aja,kalau dapat masih lebih baik emas digital karena efisien trus bisa cek apakah emas turun naik kalau naik tinggal jual transaksi mudah bisa kapan aja,kalau dapat masih lebih baik emas digital karena efisien trus bisa cek apakah emas turun naik kalau naik tinggal jual transaksi mudah bisa kapan aja,positif
"""Makasih banyak ya,,,, bagus banget edukasinya ðŸ™"",","""Makasih banyak ya,,,, bagus banget edukasinya ðŸ "",",Makasih banyak ya bagus banget edukasinya ðŸ,makasih banyak ya bagus banget edukasinya ðÿ,terima kasih banyak ya bagus sangat edukasinya ðÿ,terima | kasih | banyak | ya | bagus | sangat | edukasinya | ðÿ,terima kasih banyak bagus sangat edukasinya,terima kasih banyak bagus sangat edukasi,terima kasih banyak bagus sangat edukasi,netral
"Bro kalau warna putih kodenya 925 itu emas atau perak ya.,","Bro kalau warna putih kodenya 925 itu emas atau perak ya.,",Bro kalau warna putih kodenya itu emas atau perak ya,bro kalau warna putih kodenya itu emas atau perak ya,saudara kalau warna putih kodenya itu emas atau perak ya,saudara | kalau | warna | putih | kodenya | itu | emas | atau | perak | ya,saudara kalau warna putih kodenya emas perak,saudara kalau warna putih kode emas perak,saudara kalau warna putih kode emas perak,netral
"""Jadi bagus mana ko? Yang digital atau fisik,, bingung saya"",","""Jadi bagus mana ko? Yang digital atau fisik,, bingung saya"",",Jadi bagus mana ko Yang digital atau fisik bingung saya,jadi bagus mana ko yang digital atau fisik bingung saya,jadi bagus mana kakak yang digital atau fisik bingung saya,jadi | bagus | mana | kakak | yang | digital | atau | fisik | bingung | saya,jadi bagus mana kakak digital fisik bingung,jadi bagus mana kakak digital fisik bingung,jadi bagus mana kakak digital fisik bingung,netral
"""<a href=""""https://www.youtube.com/watch?v=7eVsrk3CjvI&amp","""<a href=""""https://www.youtube.com/watch?v=7eVsrk3CjvI&amp",a href https www youtube com watch v eVsrkCjvI amp,a href https www youtube com watch v evsrkcjvi amp,a href https ww youtube com watch v evsrkcjvi amp,a | href | https | ww | youtube | com | watch | v | evsrkcjvi | amp,href https youtube com watch evsrkcjvi amp,href https youtube com watch evsrkcjvi amp,href https youtube com watch evsrkcjvi amp,netral
